Problem: LATIN_SQUARE; method: BACKTRACKING; size: 1; no_of_solutions: 1; total_time(ms): 0,016; first_solution_time(ms): 0,010; no_of_recursive_calls: 1, heuristics=[]
Problem: LATIN_SQUARE; method: BACKTRACKING; size: 2; no_of_solutions: 1; total_time(ms): 0,019; first_solution_time(ms): 0,013; no_of_recursive_calls: 6, heuristics=[]
Problem: LATIN_SQUARE; method: BACKTRACKING; size: 3; no_of_solutions: 1; total_time(ms): 0,024; first_solution_time(ms): 0,018; no_of_recursive_calls: 21, heuristics=[]
Problem: LATIN_SQUARE; method: BACKTRACKING; size: 4; no_of_solutions: 1; total_time(ms): 0,027; first_solution_time(ms): 0,020; no_of_recursive_calls: 40, heuristics=[]
Problem: LATIN_SQUARE; method: BACKTRACKING; size: 5; no_of_solutions: 1; total_time(ms): 0,050; first_solution_time(ms): 0,043; no_of_recursive_calls: 135, heuristics=[]
Problem: LATIN_SQUARE; method: BACKTRACKING; size: 6; no_of_solutions: 1; total_time(ms): 0,083; first_solution_time(ms): 0,077; no_of_recursive_calls: 282, heuristics=[]
Problem: LATIN_SQUARE; method: BACKTRACKING; size: 7; no_of_solutions: 1; total_time(ms): 0,211; first_solution_time(ms): 0,202; no_of_recursive_calls: 770, heuristics=[]
Problem: LATIN_SQUARE; method: BACKTRACKING; size: 8; no_of_solutions: 1; total_time(ms): 0,101; first_solution_time(ms): 0,092; no_of_recursive_calls: 288, heuristics=[]
Problem: LATIN_SQUARE; method: BACKTRACKING; size: 9; no_of_solutions: 1; total_time(ms): 0,603; first_solution_time(ms): 0,593; no_of_recursive_calls: 2394, heuristics=[]
Problem: LATIN_SQUARE; method: BACKTRACKING; size: 10; no_of_solutions: 1; total_time(ms): 1,468; first_solution_time(ms): 1,464; no_of_recursive_calls: 14190, heuristics=[]
Problem: LATIN_SQUARE; method: BACKTRACKING; size: 11; no_of_solutions: 1; total_time(ms): 2,951; first_solution_time(ms): 2,943; no_of_recursive_calls: 45188, heuristics=[]
Problem: LATIN_SQUARE; method: BACKTRACKING; size: 12; no_of_solutions: 1; total_time(ms): 5,131; first_solution_time(ms): 5,123; no_of_recursive_calls: 113088, heuristics=[]
Problem: LATIN_SQUARE; method: BACKTRACKING; size: 13; no_of_solutions: 1; total_time(ms): 17,176; first_solution_time(ms): 16,627; no_of_recursive_calls: 716196, heuristics=[]
Problem: LATIN_SQUARE; method: BACKTRACKING; size: 14; no_of_solutions: 1; total_time(ms): 371,493; first_solution_time(ms): 370,902; no_of_recursive_calls: 21261338, heuristics=[]
Problem: LATIN_SQUARE; method: BACKTRACKING; size: 15; no_of_solutions: 1; total_time(ms): 4834,528; first_solution_time(ms): 4833,880; no_of_recursive_calls: 281451870, heuristics=[]
Problem: LATIN_SQUARE; method: BACKTRACKING; size: 16; no_of_solutions: 1; total_time(ms): 0,750; first_solution_time(ms): 0,732; no_of_recursive_calls: 2176, heuristics=[]
Problem: LATIN_SQUARE; method: BACKTRACKING; size: 17; no_of_solutions: 1; total_time(ms): 103,293; first_solution_time(ms): 102,461; no_of_recursive_calls: 5689373, heuristics=[]
Problem: LATIN_SQUARE; method: BACKTRACKING; size: 18; no_of_solutions: 1; total_time(ms): 995,112; first_solution_time(ms): 994,153; no_of_recursive_calls: 56532870, heuristics=[]
Problem: LATIN_SQUARE; method: BACKTRACKING; size: 19; no_of_solutions: 1; total_time(ms): 4644,480; first_solution_time(ms): 4643,420; no_of_recursive_calls: 264611689, heuristics=[]
Problem: LATIN_SQUARE; method: FORWARDCHECKING; size: 1; no_of_solutions: 1; total_time(ms): 0,014; first_solution_time(ms): 0,009; no_of_recursive_calls: 1, heuristics=[]
Problem: LATIN_SQUARE; method: FORWARDCHECKING; size: 2; no_of_solutions: 1; total_time(ms): 0,017; first_solution_time(ms): 0,011; no_of_recursive_calls: 4, heuristics=[]
Problem: LATIN_SQUARE; method: FORWARDCHECKING; size: 3; no_of_solutions: 1; total_time(ms): 0,018; first_solution_time(ms): 0,011; no_of_recursive_calls: 10, heuristics=[]
Problem: LATIN_SQUARE; method: FORWARDCHECKING; size: 4; no_of_solutions: 1; total_time(ms): 0,020; first_solution_time(ms): 0,013; no_of_recursive_calls: 16, heuristics=[]
Problem: LATIN_SQUARE; method: FORWARDCHECKING; size: 5; no_of_solutions: 1; total_time(ms): 0,026; first_solution_time(ms): 0,018; no_of_recursive_calls: 37, heuristics=[]
Problem: LATIN_SQUARE; method: FORWARDCHECKING; size: 6; no_of_solutions: 1; total_time(ms): 0,035; first_solution_time(ms): 0,028; no_of_recursive_calls: 62, heuristics=[]
