Problem; NQUEENS; method; BACKTRACKING; size; 1; no_of_solutions; 1; total_time(ms); 0,039; first_solution_time(ms); 0,013; no_of_recursive_calls; 1
Problem; NQUEENS; method; BACKTRACKING; size; 2; no_of_solutions; 0; total_time(ms); 0,000; first_solution_time(ms); 0,000; no_of_recursive_calls; 3
Problem; NQUEENS; method; BACKTRACKING; size; 3; no_of_solutions; 0; total_time(ms); 0,000; first_solution_time(ms); 0,000; no_of_recursive_calls; 6
Problem; NQUEENS; method; BACKTRACKING; size; 4; no_of_solutions; 1; total_time(ms); 0,051; first_solution_time(ms); 0,034; no_of_recursive_calls; 8
Problem; NQUEENS; method; BACKTRACKING; size; 5; no_of_solutions; 1; total_time(ms); 0,052; first_solution_time(ms); 0,033; no_of_recursive_calls; 5
Problem; NQUEENS; method; BACKTRACKING; size; 6; no_of_solutions; 1; total_time(ms); 0,090; first_solution_time(ms); 0,070; no_of_recursive_calls; 31
Problem; NQUEENS; method; BACKTRACKING; size; 7; no_of_solutions; 1; total_time(ms); 0,058; first_solution_time(ms); 0,040; no_of_recursive_calls; 9
Problem; NQUEENS; method; BACKTRACKING; size; 8; no_of_solutions; 1; total_time(ms); 0,252; first_solution_time(ms); 0,232; no_of_recursive_calls; 113
Problem; NQUEENS; method; BACKTRACKING; size; 9; no_of_solutions; 1; total_time(ms); 0,131; first_solution_time(ms); 0,111; no_of_recursive_calls; 41
Problem; NQUEENS; method; BACKTRACKING; size; 10; no_of_solutions; 1; total_time(ms); 0,329; first_solution_time(ms); 0,304; no_of_recursive_calls; 102
Problem; NQUEENS; method; BACKTRACKING; size; 11; no_of_solutions; 1; total_time(ms); 0,205; first_solution_time(ms); 0,183; no_of_recursive_calls; 52
Problem; NQUEENS; method; BACKTRACKING; size; 12; no_of_solutions; 1; total_time(ms); 0,923; first_solution_time(ms); 0,899; no_of_recursive_calls; 261
Problem; NQUEENS; method; BACKTRACKING; size; 13; no_of_solutions; 1; total_time(ms); 0,469; first_solution_time(ms); 0,449; no_of_recursive_calls; 111
Problem; NQUEENS; method; BACKTRACKING; size; 14; no_of_solutions; 1; total_time(ms); 2,515; first_solution_time(ms); 2,488; no_of_recursive_calls; 1899
Problem; NQUEENS; method; BACKTRACKING; size; 15; no_of_solutions; 1; total_time(ms); 2,172; first_solution_time(ms); 2,148; no_of_recursive_calls; 1359
Problem; NQUEENS; method; BACKTRACKING; size; 16; no_of_solutions; 1; total_time(ms); 5,461; first_solution_time(ms); 5,430; no_of_recursive_calls; 10052
Problem; NQUEENS; method; BACKTRACKING; size; 17; no_of_solutions; 1; total_time(ms); 3,999; first_solution_time(ms); 3,969; no_of_recursive_calls; 5374
Problem; NQUEENS; method; BACKTRACKING; size; 18; no_of_solutions; 1; total_time(ms); 14,588; first_solution_time(ms); 14,491; no_of_recursive_calls; 41299
Problem; NQUEENS; method; BACKTRACKING; size; 19; no_of_solutions; 1; total_time(ms); 3,273; first_solution_time(ms); 3,224; no_of_recursive_calls; 2545
Problem; NQUEENS; method; BACKTRACKING; size; 20; no_of_solutions; 1; total_time(ms); 62,292; first_solution_time(ms); 62,155; no_of_recursive_calls; 199635
